Welsh Walisisch
sign Schild,Zeichen
course Kurs
conversation Konversation
zip-line Seilrutsche
over über
skiing Skifahren
capital(city) Hauptstadt
to-be-located liegen
middle Mitte
sport Sportart
coast Küste
rafting rafting
surfing Surfen
popular beliebt
volunteer Freiwilliger
lifeboat Rettungsboot
trouble Problem-Ärger
teenager Teenager
guest Gast
fluent fließend-flüssig
all-the-time die ganze zeit
flow langsam
tough hart
strong stark
fit fit
difficult schwierig
unfriendly unfreundlich
weak schwach
dry trocken
unpopular unpopulär-unbeliebt
